FIPS,county_name,wtd_den,pop_den,population
46103,"Pennington County, South Dakota",2069,39,107298
54069,"Ohio County, West Virginia",2068,409,43257
30023,"Deer Lodge County, Montana",2065,12,9176
26033,"Chippewa County, Michigan",2063,25,38330
26017,"Bay County, Michigan",2062,240,106107
39045,"Fairfield County, Ohio",2058,298,150163
72041,"Cidra Municipio, Puerto Rico",2054,1160,41782
72115,"Quebradillas Municipio, Puerto Rico",2047,1098,24904
26139,"Ottawa County, Michigan",2033,491,276583
46065,"Hughes County, South Dakota",2032,24,17518
2110,"Juneau City and Borough, Alaska",2027,12,32524
36019,"Clinton County, New York",2026,79,81505
48495,"Winkler County, Texas",2025,9,7723
18081,"Johnson County, Indiana",2023,461,147567
45015,"Berkeley County, South Carolina",2022,181,199081
51590,"Danville city, Virginia",2018,987,42360
35043,"Sandoval County, New Mexico",2015,37,138117
51520,"Bristol city, Virginia",2008,1331,17340
47149,"Rutherford County, Tennessee",1997,469,290289
48357,"Ochiltree County, Texas",1996,12,10577
17177,"Stephenson County, Illinois",1994,82,46283
17119,"Madison County, Illinois",1992,373,266759
31001,"Adams County, Nebraska",1991,56,31536
